repo_id,language,bytes
1229310351,Go,1835
1229310351,TypeScript,1614
1229310351,Dockerfile,1540
1241743752,TypeScript,2625151
1241743752,CSS,242596
1241743752,JavaScript,37234
1241743752,HTML,368
1239906475,Shell,2166
1239906475,Dockerfile,606
1229345907,TypeScript,136579
1229345907,CSS,5489
1229345907,JavaScript,289
1230987546,Rust,44818
1230987546,HTML,37254
1236415557,Dart,6461083
1236415557,TypeScript,282172
1236415557,Kotlin,51428
1236415557,Python,42271
1236415557,CSS,23564
1236415557,JavaScript,8674
1236415557,PowerShell,1546
1236415557,HTML,1132
1236415557,Shell,669
1229374702,Python,280947
1229374702,Makefile,10847
1229374702,Shell,4360
1236317607,HTML,388800
1239645385,Python,22979
1233605506,Python,469741
1233605506,JavaScript,63063
1233605506,HTML,50565
1233605506,Shell,9370
1239324940,TypeScript,3363725
1239324940,CSS,218439
1239324940,HTML,50333
1239324940,JavaScript,28141
1239324940,Python,12728
1237893567,TypeScript,8662
1237893567,JavaScript,591
1228403547,TypeScript,18819
1228403547,JavaScript,956
1231014650,JavaScript,50113
1248372602,Python,33964
1248372602,Shell,570
1233547157,Python,965292
1233547157,TypeScript,610313
1233547157,Rust,589596
1233547157,Shell,1790
1233547157,JavaScript,598
1235700408,TypeScript,105439
1235700408,Shell,1433
1235700408,Dockerfile,810
1241360977,Python,178907
1241360977,TypeScript,150889
1241360977,CSS,16405
1241360977,Shell,3787
1241360977,Dockerfile,1630
1241360977,HTML,312
1244604931,C,75591
1244604931,Batchfile,586
1225904506,Rust,644884
1225904506,TypeScript,64283
1225904506,JavaScript,11659
1225904506,Shell,6546
1225904506,Python,4844
1225904506,CSS,4555
1225904506,PowerShell,2106
1225904506,Dockerfile,1422
1240013465,TypeScript,37261
1240013465,JavaScript,18772
1249403034,Python,36379
1235979359,TypeScript,91791
1235979359,CSS,1051
1228737598,C,2850623
1228737598,Shell,206867
1228737598,Makefile,42104
1228737598,Assembly,35138
1228737598,Python,13454
1228737598,Linker Script,714
1228719920,Python,7009
1228719920,Shell,2454
1251875798,TypeScript,507014
1251875798,JavaScript,177589
1236053139,Python,591694
1236053139,Go,293672
1236053139,TypeScript,135969
1236053139,CSS,2883
1236053139,Makefile,2487
1236053139,Shell,2426
1236053139,JavaScript,644
1245745639,JavaScript,38019
1245745639,CSS,9434
1245745639,HTML,3086
1241258726,JavaScript,144894
1241258726,Shell,33774
1241258726,Go,27316
1241258726,Dockerfile,3494
1236024834,MDX,136722
1231277516,PHP,162124
1231458929,C++,28373
1231458929,C,9234
1231458929,CMake,3536
1252814323,Shell,7871
1252814323,JavaScript,4451
1252814323,Batchfile,1460
1245470955,TypeScript,816886
1245470955,JavaScript,361030
1245470955,Python,180720
1245470955,HTML,28091
1245470955,Shell,2233
1235952108,Python,217435
1235952108,Shell,7506
1225520006,TypeScript,3719
1226570734,HTML,27940
1226570734,Python,10392
1233737930,Python,28563
1226282577,Shell,310282
1226135979,Python,105901
1226135979,JavaScript,13544
1226135979,CSS,11699
1226135979,HTML,9102
1226135979,Shell,3790
1244557522,TypeScript,39751
1244557522,CSS,20477
1244557522,JavaScript,3684
