full_name,stars,forks,age_days,stars_per_day,primary_language,license,desc_len,score,tier,reasons
K0nd1us/QQ-agent,154,16,17,9.1,JavaScript,MIT,27,2,訊號完整,"generic-name:QQ-agent, topics:none"
AlexTam930/crossPlatformAi,185,18,24,7.7,HTML,,222,2,訊號完整,"license:none, topics:none"
op7418/guizang-yingzao-skill,457,38,21,21.8,Python,,167,2,訊號完整,"license:none, generic-name:guizang-yingzao-skill"
feitangyuan/motion-web,428,37,15,28.5,HTML,NOASSERTION,162,2,訊號完整,"license:none, topics:none"
TianyuCodings/NanoJev,2165,232,6,360.8,Python,MIT,99,2,訊號完整,"overnight-surge:361/day, topics:none"
shadcn-ui/cn,1577,17,23,68.6,TypeScript,MIT,153,2,訊號完整,low-forks:0.011
yibie/awesome-jev,1573,225,6,262.2,Python,,131,2,訊號完整,"license:none, generic-name:awesome-jev"
SegFault42/iOS-GPS-Spoofer,233,21,22,10.6,Swift,,29,2,訊號完整,"license:none, topics:none"
coolbbcamp/Pons-v2-Multi-Wallet-Volume-Bot,236,1,8,29.5,TypeScript,,282,2,訊號完整,"license:none, topics:none"
EMERGE-Policy/EMERGE-Policy,232,5,26,8.9,Python,,58,2,訊號完整,"license:none, topics:none"
yunxiangcai88-ai/SIPM-READOUT,230,3,21,11.0,Unknown,,46,2,訊號完整,"license:none, topics:none"
mpociot/claude-siri-ai,219,18,9,24.3,Swift,MIT,81,2,訊號完整,"generic-name:claude-siri-ai, topics:none"
EverettFish/holo-card-studio,1781,240,16,111.3,Python,NOASSERTION,285,2,訊號完整,"license:none, topics:none"
KJGX66F/usque-custom-pro,1384,2226,19,72.8,JavaScript,,121,2,訊號完整,"license:none, topics:none"
danielblnc/DLSS-NR-on-AMD,1603,61,20,80.2,Unknown,NOASSERTION,51,2,訊號完整,"license:none, topics:none"
donvito/codex-astra-luna-orchestrator,1596,133,18,88.7,Python,Apache-2.0,64,2,訊號完整,"generic-name:codex-astra-luna-orchestrator, topics:none"
To3akaRin/mac-computer-use,988,16,15,65.9,JavaScript,MIT,115,2,訊號完整,low-forks:0.016
driceroland/Search,982,94,3,327.3,Swift,MIT,57,2,訊號完整,"overnight-surge:327/day, topics:none"
siknet/FreePEP,1034,170,23,45.0,Python,MIT,10,2,訊號完整,"desc:short, topics:none"
nimaone/persian_tts,165,15,7,23.6,Python,,84,2,訊號完整,"license:none, topics:none"
446599/ccodex-rotate,138,22,3,46.0,Go,,142,2,訊號完整,"license:none, topics:none"
Vheissu/hit-and-run-web,138,20,16,8.6,TypeScript,NOASSERTION,108,2,訊號完整,"license:none, topics:none"
wquguru/dasheng,138,18,3,46.0,JavaScript,,34,2,訊號完整,"license:none, topics:none"
justxor/KAFKAFREECOURSR,140,26,20,7.0,Unknown,,43,2,訊號完整,"license:none, topics:none"
daishuge/pcb-skill,139,22,15,9.3,Python,MIT,226,2,訊號完整,"generic-name:pcb-skill, topics:none"
uehaj/jev-semgrep,134,8,4,33.5,JavaScript,NOASSERTION,150,2,訊號完整,"license:none, topics:none"
Omni-Interaction-Gander/Omni-Interaction-Agent,294,24,16,18.4,Python,Apache-2.0,175,2,訊號完整,"generic-name:Omni-Interaction-Agent, topics:none"
haxybaxy/video-pedal,335,29,14,23.9,Python,,112,2,訊號完整,"license:none, topics:none"
realZachi/pg-jev,329,18,6,54.8,Shell,NOASSERTION,103,2,訊號完整,"license:none, topics:none"
kenowong/math-mastery,328,101,27,12.1,HTML,,32,2,訊號完整,"license:none, topics:none"
PAICNI/CFNext,737,503,18,40.9,JavaScript,,53,2,訊號完整,"license:none, topics:none"
n0de-sudo/Perfect-Rules,789,173,16,49.3,JavaScript,,46,2,訊號完整,"license:none, topics:none"
mikehasa/golive-skill,305,28,1,305.0,TypeScript,MIT,237,2,訊號完整,"overnight-surge:305/day, generic-name:golive-skill"
samyost1/3dicon,305,25,1,305.0,Python,MIT,92,2,訊號完整,"overnight-surge:305/day, topics:none"
OmniJev/awesome-jev-gallery,294,19,6,49.0,JavaScript,NOASSERTION,91,2,訊號完整,"license:none, generic-name:awesome-jev-gallery"
openaiotlab/CUHK-X,303,9,16,18.9,Python,NOASSERTION,120,2,訊號完整,"license:none, topics:none"
xqy2006/ModelTrace,814,57,27,30.1,JavaScript,MIT,8,2,訊號完整,"desc:short, topics:none"
angusdevgo/IDM_Pro_Tool,806,196,13,62.0,C#,MIT,12,2,訊號完整,"desc:short, topics:none"
kydlikebtc/awesome-jev,270,6,1,270.0,Python,NOASSERTION,267,2,訊號完整,"license:none, generic-name:awesome-jev"
